Pokedex Number,Name,Type,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Base Total
494,Victini,Psychic Fire,100,100,100,100,100,100,600
495,Snivy,Grass ,45,45,55,45,55,63,308
496,Servine,Grass ,60,60,75,60,75,83,413
497,Serperior,Grass ,75,75,95,75,95,113,528
498,Tepig,Fire ,65,63,45,45,45,45,308
499,Pignite,Fire Fighting,90,93,55,70,55,55,418
500,Emboar,Fire Fighting,110,123,65,100,65,65,528
501,Oshawott,Water ,55,55,45,63,45,45,308
502,Dewott,Water ,75,75,60,83,60,60,413
503,Samurott,Water ,95,100,85,108,70,70,528
504,Patrat,Normal ,45,55,39,35,39,42,255
505,Watchog,Normal ,60,85,69,60,69,77,420
506,Lillipup,Normal ,45,60,45,25,45,55,275
507,Herdier,Normal ,65,80,65,35,65,60,370
508,Stoutland,Normal ,85,110,90,45,90,80,500
509,Purrloin,Dark ,41,50,37,50,37,66,281
510,Liepard,Dark ,64,88,50,88,50,106,446
511,Pansage,Grass ,50,53,48,53,48,64,316
512,Simisage,Grass ,75,98,63,98,63,101,498
513,Pansear,Fire ,50,53,48,53,48,64,316
514,Simisear,Fire ,75,98,63,98,63,101,498
515,Panpour,Water ,50,53,48,53,48,64,316
516,Simipour,Water ,75,98,63,98,63,101,498
517,Munna,Psychic ,76,25,45,67,55,24,292
518,Musharna,Psychic ,116,55,85,107,95,29,487
519,Pidove,Normal Flying,50,55,50,36,30,43,264
520,Tranquill,Normal Flying,62,77,62,50,42,65,358
521,Unfezant,Normal Flying,80,115,80,65,55,93,488
522,Blitzle,Electric ,45,60,32,50,32,76,295
523,Zebstrika,Electric ,75,100,63,80,63,116,497
524,Roggenrola,Rock ,55,75,85,25,25,15,280
525,Boldore,Rock ,70,105,105,50,40,20,390
526,Gigalith,Rock ,85,135,130,60,80,25,515
527,Woobat,Psychic Flying,65,45,43,55,43,72,323
528,Swoobat,Psychic Flying,67,57,55,77,55,114,425
529,Drilbur,Ground ,60,85,40,30,45,68,328
530,Excadrill,Ground Steel,110,135,60,50,65,88,508
531,Audino,Normal ,103,60,86,60,86,50,445
532,Timburr,Fighting ,75,80,55,25,35,35,305
533,Gurdurr,Fighting ,85,105,85,40,50,40,405
534,Conkeldurr,Fighting ,105,140,95,55,65,45,505
535,Tympole,Water ,50,50,40,50,40,64,294
536,Palpitoad,Water Ground,75,65,55,65,55,69,384
537,Seismitoad,Water Ground,105,95,75,85,75,74,509
538,Throh,Fighting ,120,100,85,30,85,45,465
539,Sawk,Fighting ,75,125,75,30,75,85,465
540,Sewaddle,Bug Grass,45,53,70,40,60,42,310
541,Swadloon,Bug Grass,55,63,90,50,80,42,380
542,Leavanny,Bug Grass,75,103,80,70,80,92,500
543,Venipede,Bug Poison,30,45,59,30,39,57,260
544,Whirlipede,Bug Poison,40,55,99,40,79,47,360
545,Scolipede,Bug Poison,60,100,89,55,69,112,485
546,Cottonee,Grass Fairy,40,27,60,37,50,66,280
547,Whimsicott,Grass Fairy,60,67,85,77,75,116,480
548,Petilil,Grass ,45,35,50,70,50,30,280
549,Lilligant,Grass ,70,60,75,110,75,90,480
550,Basculin Red-Striped Form,Water ,70,92,65,80,55,98,460
550,Basculin Blue-Striped Form,Water ,70,92,65,80,55,98,460
551,Sandile,Ground Dark,50,72,35,35,35,65,292
552,Krokorok,Ground Dark,60,82,45,45,45,74,351
553,Krookodile,Ground Dark,95,117,80,65,70,92,519
554,Darumaka,Fire ,70,90,45,15,45,50,315
555,Darmanitan Standard Mode,Fire ,105,140,55,30,55,95,480
555,Darmanitan Zen Mode,Fire Psychic,105,30,105,140,105,55,540
556,Maractus,Grass ,75,86,67,106,67,60,461
557,Dwebble,Bug Rock,50,65,85,35,35,55,325
558,Crustle,Bug Rock,70,105,125,65,75,45,485
559,Scraggy,Dark Fighting,50,75,70,35,70,48,348
560,Scrafty,Dark Fighting,65,90,115,45,115,58,488
561,Sigilyph,Psychic Flying,72,58,80,103,80,97,490
562,Yamask,Ghost ,38,30,85,55,65,30,303
563,Cofagrigus,Ghost ,58,50,145,95,105,30,483
564,Tirtouga,Water Rock,54,78,103,53,45,22,355
565,Carracosta,Water Rock,74,108,133,83,65,32,495
566,Archen,Rock Flying,55,112,45,74,45,70,401
567,Archeops,Rock Flying,75,140,65,112,65,110,567
568,Trubbish,Poison ,50,50,62,40,62,65,329
569,Garbodor,Poison ,80,95,82,60,82,75,474
570,Zorua,Dark ,40,65,40,80,40,65,330
571,Zoroark,Dark ,60,105,60,120,60,105,510
572,Minccino,Normal ,55,50,40,40,40,75,300
573,Cinccino,Normal ,75,95,60,65,60,115,470
574,Gothita,Psychic ,45,30,50,55,65,45,290
575,Gothorita,Psychic ,60,45,70,75,85,55,390
576,Gothitelle,Psychic ,70,55,95,95,110,65,490
577,Solosis,Psychic ,45,30,40,105,50,20,290
578,Duosion,Psychic ,65,40,50,125,60,30,370
579,Reuniclus,Psychic ,110,65,75,125,85,30,490
580,Ducklett,Water Flying,62,44,50,44,50,55,305
581,Swanna,Water Flying,75,87,63,87,63,98,473
582,Vanillite,Ice ,36,50,50,65,60,44,305
583,Vanillish,Ice ,51,65,65,80,75,59,395
584,Vanilluxe,Ice ,71,95,85,110,95,79,535
585,Deerling,Normal Grass,60,60,50,40,50,75,335
586,Sawsbuck,Normal Grass,80,100,70,60,70,95,475
587,Emolga,Electric Flying,55,75,60,75,60,103,428
588,Karrablast,Bug ,50,75,45,40,45,60,315
589,Escavalier,Bug Steel,70,135,105,60,105,20,495
590,Foongus,Grass Poison,69,55,45,55,55,15,294
591,Amoonguss,Grass Poison,114,85,70,85,80,30,464
592,Frillish,Water Ghost,55,40,50,65,85,40,335
593,Jellicent,Water Ghost,100,60,70,85,105,60,480
594,Alomomola,Water ,165,75,80,40,45,65,470
595,Joltik,Bug Electric,50,47,50,57,50,65,319
596,Galvantula,Bug Electric,70,77,60,97,60,108,472
597,Ferroseed,Grass Steel,44,50,91,24,86,10,305
598,Ferrothorn,Grass Steel,74,94,131,54,116,20,489
599,Klink,Steel ,40,55,70,45,60,30,300
600,Klang,Steel ,60,80,95,70,85,50,440
601,Klinklang,Steel ,60,100,115,70,85,90,520
602,Tynamo,Electric ,35,55,40,45,40,60,275
603,Eelektrik,Electric ,65,85,70,75,70,40,405
604,Eelektross,Electric ,85,115,80,105,80,50,515
605,Elgyem,Psychic ,55,55,55,85,55,30,335
606,Beheeyem,Psychic ,75,75,75,125,95,40,485
607,Litwick,Ghost Fire,50,30,55,65,55,20,275
608,Lampent,Ghost Fire,60,40,60,95,60,55,370
609,Chandelure,Ghost Fire,60,55,90,145,90,80,520
610,Axew,Dragon ,46,87,60,30,40,57,320
611,Fraxure,Dragon ,66,117,70,40,50,67,410
612,Haxorus,Dragon ,76,147,90,60,70,97,540
613,Cubchoo,Ice ,55,70,40,60,40,40,305
614,Beartic,Ice ,95,130,80,70,80,50,505
615,Cryogonal,Ice ,80,50,50,95,135,105,515
616,Shelmet,Bug ,50,40,85,40,65,25,305
617,Accelgor,Bug ,80,70,40,100,60,145,495
618,Stunfisk,Ground Electric,109,66,84,81,99,32,471
619,Mienfoo,Fighting ,45,85,50,55,50,65,350
620,Mienshao,Fighting ,65,125,60,95,60,105,510
621,Druddigon,Dragon ,77,120,90,60,90,48,485
622,Golett,Ground Ghost,59,74,50,35,50,35,303
623,Golurk,Ground Ghost,89,124,80,55,80,55,483
624,Pawniard,Dark Steel,45,85,70,40,40,60,340
625,Bisharp,Dark Steel,65,125,100,60,70,70,490
626,Bouffalant,Normal ,95,110,95,40,95,55,490
627,Rufflet,Normal Flying,70,83,50,37,50,60,350
628,Braviary,Normal Flying,100,123,75,57,75,80,510
629,Vullaby,Dark Flying,70,55,75,45,65,60,370
630,Mandibuzz,Dark Flying,110,65,105,55,95,80,510
631,Heatmor,Fire ,85,97,66,105,66,65,484
632,Durant,Bug Steel,58,109,112,48,48,109,484
633,Deino,Dark Dragon,52,65,50,45,50,38,300
634,Zweilous,Dark Dragon,72,85,70,65,70,58,420
635,Hydreigon,Dark Dragon,92,105,90,125,90,98,600
636,Larvesta,Bug Fire,55,85,55,50,55,60,360
637,Volcarona,Bug Fire,85,60,65,135,105,100,550
638,Cobalion,Steel Fighting,91,90,129,90,72,108,580
639,Terrakion,Rock Fighting,91,129,90,72,90,108,580
640,Virizion,Grass Fighting,91,90,72,90,129,108,580
641,Tornadus Incarnate Forme,Flying ,79,115,70,125,80,111,580
641,Tornadus Therian Forme,Flying ,79,100,80,110,90,121,580
642,Thundurus Incarnate Forme,Electric Flying,79,115,70,125,80,111,580
642,Thundurus Therian Forme,Electric Flying,79,105,70,145,80,101,580
643,Reshiram,Dragon Fire,100,120,100,150,120,90,680
644,Zekrom,Dragon Electric,100,150,120,120,100,90,680
645,Landorus Incarnate Forme,Ground Flying,89,125,90,115,80,101,600
645,Landorus Therian Forme,Ground Flying,89,145,90,105,80,91,600
646,Kyurem,Dragon Ice,125,130,90,130,90,95,660
646,Kyurem White Kyurem,Dragon Ice,125,120,90,170,100,95,700
646,Kyurem Black Kyurem,Dragon Ice,125,170,100,120,90,95,700
647,Keldeo Ordinary Form,Water Fighting,91,72,90,129,90,108,580
647,Keldeo Resolute Form,Water Fighting,91,72,90,129,90,108,580
648,Meloetta Aria Forme,Normal Psychic,100,77,77,128,128,90,600
648,Meloetta Pirouette Forme,Normal Fighting,100,128,90,77,77,128,600
649,Genesect,Bug Steel,71,120,95,120,95,99,600
