Pokedex Number,Name,Type,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Base Total
052,Meowth Galarian Meowth,Steel ,50,65,55,40,40,40,290
058,Growlithe Hisuian Growlithe,Fire Rock,60,75,45,65,50,55,350
059,Arcanine Hisuian Arcanine,Fire Rock,95,115,80,95,80,90,555
077,Ponyta Galarian Ponyta,Psychic ,50,85,55,65,65,90,410
078,Rapidash Galarian Rapidash,Psychic Fairy,65,100,70,80,80,105,500
079,Slowpoke Galarian Slowpoke,Psychic ,90,65,65,40,40,15,315
080,Slowbro Galarian Slowbro,Poison Psychic,95,100,95,100,70,30,490
083,Farfetch'd Galarian Farfetch'd,Fighting ,52,95,55,58,62,55,377
100,Voltorb Hisuian Voltorb,Electric Grass,40,30,50,55,55,100,330
101,Electrode Hisuian Electrode,Electric Grass,60,50,70,80,80,150,490
110,Weezing Galarian Weezing,Poison Fairy,65,90,120,85,70,60,490
122,Mr. Mime Galarian Mr. Mime,Ice Psychic,50,65,65,90,90,100,460
144,Articuno Galarian Articuno,Psychic Flying,90,85,85,125,100,95,580
145,Zapdos Galarian Zapdos,Fighting Flying,90,125,90,85,90,100,580
146,Moltres Galarian Moltres,Dark Flying,90,85,90,100,125,90,580
157,Typhlosion Hisuian Typhlosion,Fire Ghost,73,84,78,119,85,95,534
199,Slowking Galarian Slowking,Poison Psychic,95,65,80,110,110,30,490
211,Qwilfish Hisuian Qwilfish,Dark Poison,65,95,85,55,55,85,440
215,Sneasel Hisuian Sneasel,Fighting Poison,55,95,55,35,75,115,430
222,Corsola Galarian Corsola,Ghost ,60,55,100,65,100,30,410
263,Zigzagoon Galarian Zigzagoon,Dark Normal,38,30,41,30,41,60,240
264,Linoone Galarian Linoone,Dark Normal,78,70,61,50,61,100,420
483,Dialga Origin Forme,Steel Dragon,100,100,120,150,120,90,680
484,Palkia Origin Forme,Water Dragon,90,100,100,150,120,120,680
503,Samurott Hisuian Samurott,Water Dark,90,108,80,100,65,85,528
549,Lilligant Hisuian Lilligant,Grass Fighting,70,105,75,50,75,105,480
550,Basculin White-Striped Form,Water ,70,92,65,80,55,98,460
554,Darumaka Galarian Darumaka,Ice ,70,90,45,15,45,50,315
555,Darmanitan Galarian Standard Mode,Ice ,105,140,55,30,55,95,480
555,Darmanitan Galarian Zen Mode,Ice Fire,105,160,55,30,55,135,540
562,Yamask Galarian Yamask,Ground Ghost,38,55,85,30,65,30,303
570,Zorua Hisuian Zorua,Normal Ghost,35,60,40,85,40,70,330
571,Zoroark Hisuian Zoroark,Normal Ghost,60,105,60,120,60,105,510
618,Stunfisk Galarian Stunfisk,Ground Steel,109,81,99,66,84,32,471
628,Braviary Hisuian Braviary,Psychic Flying,110,83,70,112,70,65,510
705,Sliggoo Hisuian Sliggoo,Steel Dragon,58,75,83,83,113,40,452
